Permission,Participant ID,Gender,Age,Education,Education_7_TEXT,isIT,isIT_3_TEXT,Student,TotalExp,IndusExp,FamCopilot,FamJS,Glasses,Familiar A,approachesA,Familiar B,approachesB,queue,stack,linked-lists,sets,multi-array,tree-graph-struct,recursion,tree-graph-algo,dynamic-pr,greedy,sorting,WithoutCopilot,WithCopilot,First,Second
"By clicking the button below, I give permission for my data to be collected and processed anonymously. I acknowledge that my participation in this study is voluntary, and I am aware that I may choose to terminate my participation at any time for any reason.","Participant ID

To be filled in by the researcher",What is your gender?,In which age range would you place yourself?,What is your highest completed level of education? - Selected Choice,What is your highest completed level of education? - Other - Text,"Is your highest completed level of education in the IT field? (Computer Science, Software Engineering, AI etc.) - Selected Choice","Is your highest completed level of education in the IT field? (Computer Science, Software Engineering, AI etc.) - Other - Text",Are you a student?,"How many years of programming experience do you have in total? (hobby, school, industry, etc.)",How many years of programming experience do you have in the industry?,How familiar are you with using GitHub Copilot?,How proficient are you with writing JavaScript code?,"Are you wearing glasses today?
This is related to the performance of the eye tracker. You can answer no if you are wearing contact lenses.","Time is up!

  
  
  Your browser does not support the audio element.



Were you familiar with the problem prior to the experiment? (Task A)","Write down as many different approaches to solving the 'Roman to Integer' problem as you can think of.



After 5 minutes, you hear the bell. Then, take time to elaborate on the approaches you just came up with. After you finish elaborating on your approaches, press next.","Time is up!

  
  
  Your browser does not support the audio element.



Were you familiar with the problem prior to the experiment? (Task B)","Write down as many different approaches to solving the 'Valid Parentheses' problem as you can think of.



After 5 minutes, you hear the bell. Then, take time to elaborate on the approaches you just came up with. After you finish elaborating on your approaches, press next.",Have you worked with a queue before?,Have you worked with a stack before?,Have you worked with linked lists before?,Have you worked with sets  before?,Have you worked with multidimensional arrays (e.g. 2D array) before?,Have you worked with tree or graph structures (e.g. binary trees) before?,Have you worked with recursion before?,Have you worked with tree or graph algorithms (e.g. DFS and BFS) before?,Have you worked with dynamic programming before?,Have you worked with greedy algorithms before?,"Have you worked with sorting algorithms (e.g. quicksort, heapsort, insertion sort) before?",WithoutCopilot,WithCopilot,First,Second
"I consent, begin the study",1,Male,18 to 24,Research university / Wetenschappelijk onderwijs (WO) - Bachelor (BSc),,Yes,,Yes,4 to 6 years,1 to 3 years,Never used it,Comfortable,No,Never seen it before,"Digit by digit (numeral by numeral): maybe it's possible to parse the input numeral by numeral, keeping track of the preceding two (since weird dialect) parsed numerals. Then at some point you ""lock in"" the parsed digit? Not sure.",Never seen it before,"Parse first char in input, search for first matching char, then remove the matched pair from the input. Continue until input is empty or return false? Not really that different from the solution I (read: copilot) submitted.

Search for a sequence of (), [] or , &lt;/&gt; and when found remove it from the input. Continue until input is empty or return false?





","Yes, and I remember how it works","Yes, and I remember how it works",No,"Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works",No,"Yes, but I do not remember how it works anymore","Yes, but I do not remember how it works anymore",A,B,A,B
"I consent, begin the study",2,Male,18 to 24,University for applied sciences / Hoger beroepsonderwijs (HBO)  - Bachelor (BSc),,Yes,,Yes,4 to 6 years,1 to 3 years,Never used it,Comfortable,No,"Seen it before, but never solved it","Creating a list of if statements that checks for each special case and then a switch case for all normal cases (naive approach).

Create a stack where we push each numeral that can have a special case, peek at the next character and check if the combination forms a special case.



",Never seen it before,"Loop through a string and check for each character if it is valid using if statements and maintaining a state (kind of like a parser).

Create a tokenizer and then check if the syntax is valid.

Create a stack where we push on the parantheses and check if they are properly closed.

Create a regular expression.

","Yes, but I do not remember how it works anymore","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works",No,No,"Yes, and I remember how it works",A,B,B,A
"I consent, begin the study",3,Male,18 to 24,University for applied sciences / Hoger beroepsonderwijs (HBO)  - Bachelor (BSc),,Yes,,Yes,6 to 10 years,1 to 3 years,Never used it,Familiar with basic syntax,No,"Seen it before, but never solved it","Elements on the left are subtracted from the largest right most elements, and vice versa. For example: ""IV"" one is subtracted from five because one is on the left and five is the largest element. ""XII"" results in 12 since 2 is added to 10 because 10 is the largest element.","Solved it before, do not remember how I solved it","1. Use a stack. For every element in the string, add it to the stack. If a closing element if found, pop the stack. if the stack is not empty after iterating trough the string, it is invalid.

2. Make a parser that parses the string using a grammar.

",No,"Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, but I do not remember how it works anymore","Yes, and I remember how it works","Yes, but I do not remember how it works anymore","Yes, but I do not remember how it works anymore","Yes, but I do not remember how it works anymore","Yes, but I do not remember how it works anymore",B,A,A,B
"I consent, begin the study",22222222,Female,45 to 54,Research university / Wetenschappelijk onderwijs (WO) - Bachelor (BSc),,Other,,Yes,6 to 10 years,1 to 3 years,Tried it before,Comfortable,,"Seen it before, but never solved it",,,,,,,,,,,,,,,,,,
"I consent, begin the study",4,Male,18 to 24,Research university / Wetenschappelijk onderwijs (WO) - Bachelor (BSc),,Yes,,Yes,4 to 6 years,Less than 1 year,Tried it before,Familiar with basic syntax,Yes,Never seen it before,"1. make use of a dictionary and traverse the input string
2. traverse the string and tokenize each character and use if statements
3. make use of multiple Roman numeric combinations and match on these
",Never seen it before,"1. Use a stack to keep track of the brackets
2. Use a queue to keep track of the brackets
3. Use a string to keep track of the brackets
4. Make use of a map to store the brackets and delete them on appearance
","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, but I do not remember how it works anymore","Yes, and I remember how it works","Yes, and I remember how it works",A,B,A,B
"I consent, begin the study",5,Male,35 to 44,Master (MSc),,Yes,,No,4 to 6 years,None,Never used it,Familiar with basic syntax,No,Never seen it before,"Take inputstring

method 1:
regex strip verschillende delen naar tellerniveau (M, D, C, V, X, I) incl uitzonderingen (I of II prefix)
vertaal diverse onderdelen naar cijfer

method 2: 
vervang elk enkel character door de equivalent in numeriek systeem met een + of - ervoor afhankelijk van de positie van het karakter (I of C voor zijn voorligger is een min, anders een plus)

 ",Never seen it before,"ontvang String die je wilt checken in hoofdfunctie
call: functie check samenstelling String op karakterset
   return false bij invalid karakters
call: functie op samenstelling string (logica karakters)
   variant 1: levels van nesting bepalen
          check sluitkarakter is gelijk aan startkarakter op ""zelfde niveau""
   return true slaagt op elk niveau / false alle anderen
  
   variant 2: doorloop string en exit bij falen (karakter is niet toegestaan, want daarmee foute volgorde van karakters

start met string die je wilt checken
","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, but I do not remember how it works anymore","Yes, and I remember how it works","Yes, but I do not remember how it works anymore","Yes, but I do not remember how it works anymore","Yes, but I do not remember how it works anymore","Yes, and I remember how it works",A,B,B,A
"I consent, begin the study",6,Male,18 to 24,Research university / Wetenschappelijk onderwijs (WO) - Bachelor (BSc),,Yes,,No,6 to 10 years,1 to 3 years,Never used it,Familiar with basic syntax,No,Never seen it before,"als de romeinse getallen hetzelfde zijn kan je deze bij elkaar optellen als vervolgens het volgende getal groter is kan je de vorige van elkaar af halen, anders moet je deze ook bij elkaar optellen. 

er is een selecte lijst aan combinaties die van elkaar af gehaald kunnen worden als je deze in een grote lijst zet en daar IIX aan toe voegd kan je controleren of de input in deze lijst voorkomt voor de rest is het een grote optelsom",Never seen it before,"make a list of opening parentheses and check if the last value is closed first if at the end the list is empty the string is correct

","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works",No,No,"Yes, but I do not remember how it works anymore",B,A,B,A
"I consent, begin the study",7,Male,18 to 24,Research university / Wetenschappelijk onderwijs (WO) - Bachelor (BSc),,Yes,,No,11+ years,4 to 6 years,Have been using it for a while (>3 months),Comfortable,Yes,Never seen it before,"Deze is echt tricky, denk dat je iets kan doen met substrings waar je constant de grotere getallen eruit haalt tot je een getal tegenkomt wat groter is dan je gewend bent en dan ga je weer terug in de loop om af te trekken ipv op te tellen.",Never seen it before,"1. Replace('[', '').replace(']','').etc.etc functies gebruiken (correct voor elke combi aan parentheses) om constant de eerste char en de laatste (2) char(s) weg te halen, tot er een exception optreedt (isValid === false) of je een lege string hebt (isValid === true). Splice is trouwens beter.
2. Recursief de buitenste 1/2 char(s) van het uiteinde halen en kijken of de binnenkant leeg (valid) of niet leeg (invalid) of weer recursief (doorgaan). Dit werkt echter niet goed met zaken als ([][]), mijn oplossing wel ;)

Denk wel dat mijn oplossing de beste is want die kan dus wel die ([][]) aan.","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, but I do not remember how it works anymore","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works","Yes, and I remember how it works",No,No,"Yes, and I remember how it works",A,B,B,A
"I consent, begin the study",8,Male,25 to 34,Master (MSc),,Yes,,No,6 to 10 years,6 to 10 years,Tried it before,Familiar with basic syntax,No,Never seen it before," - Regex -&gt; in plaats van lijsten en loopen regexes gebruiken om de tegallen te vinden en optellen
 - Grote tabel met alle mogelijk romeinse getallen en bijbehorende latijnse getallen
 - Door de input heen loopen, steeds 1 vooruit kijken om de 'dubbele' getallen te vinden, en anders op te tellen
 - library hiervoor installeren
 - kijken of er een standaard `cast` functie is in javascript","Seen it before, but never solved it"," - regexes to match valid or invalid strings
 - for loops met iets andere matching mechanismes
 - sanity check om aantallen (haakjes) te testen
 - type haakes omschrijven naar integers, dan met een berekening uitrekenen of de haakjes goed uitkomen","Yes, and I remember how it works","Yes, and I remember how it works",No,"Yes, and I remember how it works","Yes, and I remember how it works","Yes, but I do not remember how it works anymore","Yes, and I remember how it works","Yes, but I do not remember how it works anymore",No,"Yes, but I do not remember how it works anymore","Yes, and I remember how it works",A,B,A,B
